[{'market': 'KOSPI', 'position_bid': 0.1, 'position_ask': 0.9, 'mfi_bid': 10, 'mfi_ask': 80, 'boll_period': 20, 'mfi_period': 10, 'minCap': 500000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1934282.741579615, 0.7692307692307693]
[{'market': 'KOSPI', 'position_bid': 0.1, 'position_ask': 0.8, 'mfi_bid': 10, 'mfi_ask': 80, 'boll_period': 20, 'mfi_period': 10, 'minCap': 500000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1933029.2085016288, 0.7111111111111111]
[{'market': 'KOSPI', 'position_bid': 0.0, 'position_ask': 0.9, 'mfi_bid': 20, 'mfi_ask': 90, 'boll_period': 20, 'mfi_period': 10, 'minCap': 500000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1930370.0637980567, 0.7631578947368421]
[{'market': 'KOSPI', 'position_bid': 0.0, 'position_ask': 1.0, 'mfi_bid': 20, 'mfi_ask': 80, 'boll_period': 20, 'mfi_period': 10, 'minCap': 500000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1909906.231616482, 0.7142857142857143]
[{'market': 'KOSPI', 'position_bid': 0.0, 'position_ask': 0.8, 'mfi_bid': 20, 'mfi_ask': 90, 'boll_period': 20, 'mfi_period': 10, 'minCap': 500000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1909654.8280302326, 0.7380952380952381]
[{'market': 'KOSPI', 'position_bid': 0.1, 'position_ask': 0.9, 'mfi_bid': 20, 'mfi_ask': 90, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1898801.8817149147, 0.7692307692307693]
[{'market': 'KOSPI', 'position_bid': 0.1, 'position_ask': 1.0, 'mfi_bid': 10, 'mfi_ask': 80, 'boll_period': 20, 'mfi_period': 10, 'minCap': 500000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1890040.6166640504, 0.7368421052631579]
[{'market': 'KOSPI', 'position_bid': 0.2, 'position_ask': 1.0, 'mfi_bid': 10, 'mfi_ask': 80, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1886544.5244371835, 0.7368421052631579]
[{'market': 'KOSPI', 'position_bid': 0.1, 'position_ask': 0.8, 'mfi_bid': 10, 'mfi_ask': 90, 'boll_period': 20, 'mfi_period': 10, 'minCap': 500000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1878213.0867697273, 0.7560975609756098]
[{'market': 'KOSPI', 'position_bid': 0.2, 'position_ask': 0.8, 'mfi_bid': 20, 'mfi_ask': 90, 'boll_period': 20, 'mfi_period': 10, 'minCap': 500000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1861041.3145734984, 0.7142857142857143]
[{'market': 'KOSPI', 'position_bid': 0.1, 'position_ask': 1.0, 'mfi_bid': 10, 'mfi_ask': 90, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1844790.3236797987, 0.8]
[{'market': 'KOSPI', 'position_bid': 0.1, 'position_ask': 0.8, 'mfi_bid': 20, 'mfi_ask': 90, 'boll_period': 20, 'mfi_period': 10, 'minCap': 500000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1817538.1341458678, 0.7346938775510204]
[{'market': 'KOSPI', 'position_bid': 0.2, 'position_ask': 0.9, 'mfi_bid': 10, 'mfi_ask': 80, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1806692.2106671694, 0.7073170731707317]
[{'market': 'KOSPI', 'position_bid': 0.1, 'position_ask': 0.9, 'mfi_bid': 10, 'mfi_ask': 80, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1795128.8875473079, 0.717948717948718]
[{'market': 'KOSPI', 'position_bid': 0.0, 'position_ask': 1.0, 'mfi_bid': 10, 'mfi_ask': 90, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1781891.563274094, 0.7407407407407407]
